date,count,,,date,,,date,,,,
2023/6/6,1,,,2023/10/21,3,,2023/10/13,31,,,
2023/6/6,1,,,2023/10/20,25,,2023/10/12,49,,,
2023/6/7,1,,,2023/10/19,44,,2023/10/11,36,,,
2023/6/6,1,,,2023/10/18,43,,2023/10/10,39,,,
2023/6/6,1,,,2023/10/17,31,,2023/10/9,27,,,
2023/6/7,1,,,2023/10/16,34,,2023/9/28,35,,,
2023/6/8,1,,,2023/10/15,1,,2023/9/27,56,,,
2023/6/6,1,,,2023/10/13,31,,2023/9/26,43,,,
2023/6/6,1,,,2023/10/12,49,,2023/9/25,37,,,
2023/6/9,1,,,2023/10/11,36,,2023/9/22,38,,,
2023/6/6,1,,,2023/10/10,39,,2023/9/21,57,,,
2023/6/6,1,,,2023/10/9,27,,2023/9/20,44,,,
2023/6/6,1,,,2023/9/28,35,,2023/9/19,44,,,
2023/6/6,1,,,2023/9/27,56,,2023/9/18,33,,,
2023/6/8,1,,,2023/9/26,43,,2023/9/15,32,,,
2023/6/7,1,,,2023/9/25,37,,2023/9/14,20,,,
2023/6/8,1,,,2023/9/24,1,,2023/9/13,45,,,
2023/6/7,1,,,2023/9/22,38,,2023/9/12,57,,,
2023/6/7,1,,,2023/9/21,57,,2023/9/11,38,,,
2023/6/7,1,,,2023/9/20,44,,2023/9/8,39,,,
2023/6/7,1,,,2023/9/19,44,,2023/9/7,52,,,
2023/6/7,1,,,2023/9/18,33,,2023/9/6,41,,,
2023/6/7,1,,,2023/9/17,1,,2023/9/5,47,,,
2023/6/8,1,,,2023/9/15,32,,2023/9/4,38,,,
2023/6/7,1,,,2023/9/14,20,,2023/9/1,19,,,
2023/6/7,1,,,2023/9/13,45,,2023/8/31,37,,,
2023/6/7,1,,,2023/9/12,57,,2023/8/30,34,,,
2023/6/8,1,,,2023/9/11,38,,2023/8/29,32,,,
2023/6/9,1,,,2023/9/10,1,,2023/8/28,32,,,
2023/6/15,1,,,2023/9/8,39,,2023/8/25,27,,,
2023/6/8,1,,,2023/9/7,52,,2023/8/24,37,,,
2023/6/8,1,,,2023/9/6,41,,2023/8/23,37,,,
2023/6/8,1,,,2023/9/5,47,,2023/8/22,36,,,
2023/6/8,1,,,2023/9/4,38,,2023/8/21,40,,,
2023/6/9,1,,,2023/9/3,1,,2023/8/18,41,,,
2023/6/8,1,,,2023/9/1,19,,2023/8/17,51,,,
2023/6/8,1,,,2023/8/31,37,,2023/8/16,43,,,
2023/6/8,1,,,2023/8/30,34,,2023/8/15,43,,,
2023/6/9,1,,,2023/8/29,32,,2023/8/14,32,,,
2023/6/8,1,,,2023/8/28,32,,2023/8/11,33,,,
2023/6/8,1,,,2023/8/26,1,,2023/8/10,55,,,
2023/6/8,1,,,2023/8/25,27,,2023/8/9,43,,,
2023/6/8,1,,,2023/8/24,37,,2023/8/8,50,,,
2023/6/8,1,,,2023/8/23,37,,2023/8/7,38,,,
2023/6/9,1,,,2023/8/22,36,,2023/8/4,39,,,
2023/6/9,1,,,2023/8/21,40,,2023/8/3,51,,,
2023/6/9,1,,,2023/8/20,2,,2023/8/2,54,,,
2023/6/9,1,,,2023/8/18,41,,2023/8/1,55,,,
2023/6/8,1,,,2023/8/17,51,,2023/7/31,46,,,
2023/6/9,1,,,2023/8/16,43,,2023/7/28,52,,,
2023/6/13,1,,,2023/8/15,43,,2023/7/27,62,,,
2023/6/9,1,,,2023/8/14,32,,2023/7/26,53,,,
2023/6/9,1,,,2023/8/13,1,,2023/7/25,48,,,
2023/6/9,1,,,2023/8/11,33,,2023/7/24,43,,,
2023/6/9,1,,,2023/8/10,55,,2023/7/21,48,,,
2023/6/9,1,,,2023/8/9,43,,2023/7/20,60,,,
2023/6/9,1,,,2023/8/8,50,,2023/7/19,55,,,
2023/6/9,1,,,2023/8/7,38,,2023/7/18,49,,,
2023/6/9,1,,,2023/8/6,1,,2023/7/17,38,,,
2023/6/8,1,,,2023/8/4,39,,2023/7/14,41,,,
2023/6/9,1,,,2023/8/3,51,,2023/7/13,60,,,
2023/6/9,1,,,2023/8/2,54,,2023/7/12,51,,,
2023/6/9,1,,,2023/8/1,55,,2023/7/11,44,,,
2023/6/9,1,,,2023/7/31,46,,2023/7/10,40,,,
2023/6/9,1,,,2023/7/28,52,,2023/7/7,44,,,
2023/6/12,1,,,2023/7/27,62,,2023/7/6,53,,,
2023/6/9,1,,,2023/7/26,53,,2023/7/5,51,,,
2023/6/9,1,,,2023/7/25,48,,2023/7/4,34,,,
2023/6/9,1,,,2023/7/24,43,,2023/7/3,33,,,
2023/6/9,1,,,2023/7/23,1,,2023/6/30,35,,,
2023/6/9,1,,,2023/7/22,1,,2023/6/29,48,,,
2023/6/9,1,,,2023/7/21,48,,2023/6/28,49,,,
2023/6/13,1,,,2023/7/20,60,,2023/6/27,45,,,
2023/6/12,1,,,2023/7/19,55,,2023/6/26,34,,,
2023/6/12,1,,,2023/7/18,49,,2023/6/21,43,,,
2023/6/13,1,,,2023/7/17,38,,2023/6/20,51,,,
2023/6/14,1,,,2023/7/16,1,,2023/6/19,26,,,
2023/6/15,1,,,2023/7/14,41,,2023/6/16,50,,,
2023/6/16,1,,,2023/7/13,60,,2023/6/15,50,,,
2023/6/12,1,,,2023/7/12,51,,2023/6/14,48,,,
2023/6/13,1,,,2023/7/11,44,,2023/6/13,37,,,
2023/6/14,1,,,2023/7/10,40,,2023/6/12,32,,,
2023/6/15,1,,,2023/7/8,1,,2023/6/9,28,,,
2023/6/13,1,,,2023/7/7,44,,2023/6/8,22,,,
2023/6/14,1,,,2023/7/6,53,,2023/6/7,19,,,
2023/6/26,1,,,2023/7/5,51,,2023/6/6,24,,,
2023/6/14,1,,,2023/7/4,34,,2023/6/5,17,,,
2023/6/29,1,,,2023/7/3,33,,2023/6/2,17,,,
2023/6/12,1,,,2023/7/2,1,,2023/6/1,26,,,
2023/6/15,1,,,2023/6/30,35,,2023/5/31,11,,,
2023/6/13,1,,,2023/6/29,48,,2023/5/30,,,,
2023/6/11,1,,,2023/6/28,49,,2023/5/29,,,,
2023/6/12,1,,,2023/6/27,45,,2023/5/26,,,,
2023/6/14,1,,,2023/6/26,34,,2023/5/25,,,,
2023/6/12,1,,,2023/6/21,43,,2023/5/24,,,,
2023/6/12,1,,,2023/6/20,51,,2023/5/23,,,,
2023/6/12,1,,,2023/6/19,26,,2023/5/22,,,,
2023/6/12,1,,,2023/6/18,1,,2023/5/19,,,,
2023/6/12,1,,,2023/6/17,1,,2023/5/18,,,,
2023/6/12,1,,,2023/6/16,50,,2023/5/17,,,,
2023/6/12,1,,,2023/6/15,50,,2023/5/16,,,,
2023/6/13,1,,,2023/6/14,48,,2023/5/15,,,,
2023/6/14,1,,,2023/6/13,37,,2023/5/12,,,,
2023/6/12,1,,,2023/6/12,32,,2023/5/11,,,,
2023/6/16,1,,,2023/6/11,1,,2023/5/10,,,,
2023/6/12,1,,,2023/6/9,28,,2023/5/9,,,,
2023/6/12,1,,,2023/6/8,22,,2023/5/8,,,,
2023/6/12,1,,,2023/6/7,19,,2023/5/5,,,,
2023/6/12,1,,,2023/6/6,24,,2023/5/4,,,,
2023/6/12,1,,,2023/6/5,17,,2023/4/28,,,,
2023/6/15,1,,,2023/6/2,17,,2023/4/27,,,,
2023/6/12,1,,,2023/6/1,26,,2023/4/26,,,,
2023/6/12,1,,,2023/5/31,11,,2023/4/25,,,,
2023/6/12,1,,,,,,2023/4/24,,,,
2023/6/12,1,,,,,,2023/4/21,,,,
2023/6/13,1,,,,,,2023/4/20,,,,
2023/6/12,1,,,,,,2023/4/19,,,,
2023/6/12,1,,,,,,2023/4/18,,,,
2023/6/12,1,,,,,,2023/4/17,,,,
2023/6/13,1,,,,,,2023/4/14,,,,
2023/6/12,1,,,,,,2023/4/13,,,,
2023/6/13,1,,,,,,2023/4/12,,,,
2023/6/13,1,,,,,,2023/4/11,,,,
2023/6/13,1,,,,,,2023/4/10,,,,
